연번,도,고을,하위고을,본읍구분,호,구,번상군,유방군,수군,군정수
143,충청도,청주목,신창현,,338,1555,12,28,63,103
144,충청도,청주목,아산현,,482,1822,17,55,250,322
145,충청도,청주목,영동현,,227,951,45,13,85,143
146,충청도,청주목,황간현,,308,742,29,4,91,124
147,충청도,청주목,회인현,,146,633,12,18,37,67
148,충청도,청주목,보은현,,327,1457,64,1,136,201
149,충청도,청주목,청산현,,235,607,25,6,69,100
150,충청도,청주목,진천현,,550,1923,58,10,213,281
151,충청도,공주목,임천군,,460,1671,13,2,287,302
152,충청도,공주목,한산군,,342,1607,6,5,206,217
153,충청도,공주목,서천군,,421,1876,9,224,0,233
154,충청도,공주목,남포현,,180,949,2,17,61,80
155,충청도,공주목,비인현,,166,651,4,28,57,89
156,충청도,공주목,정산현,,258,1113,13,5,124,142
157,충청도,공주목,홍산현,,348,1971,16,16,174,206
158,충청도,공주목,은진현,,506,1717,22,52,258,332
159,충청도,공주목,연산현,,378,1487,9,2,162,173
160,충청도,공주목,회덕현,,300,1266,7,4,149,160
161,충청도,공주목,석성현,,395,1208,11,23,150,184
162,충청도,공주목,진잠현,,153,583,1,2,92,95
163,충청도,공주목,부여현,,382,1337,17,29,228,274
164,충청도,공주목,이산현,,384,1591,28,19,190,237
165,충청도,홍주목,태안군,,173,547,0,22,13,35
166,충청도,홍주목,서산군,,489,1887,12,53,209,274
167,충청도,홍주목,면천군,,405,3155,11,28,195,234
168,충청도,홍주목,해미현,,258,855,5,3,79,87
169,충청도,홍주목,당진현,,284,1489,2,8,120,130
170,충청도,홍주목,덕산현,,649,3214,20,230,87,337
